   2890 
    117 IPR000742	EGF-like domain
     17 IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
     16 IPR004001	Actin, conserved site
     15 IPR042179	Multifunctional 2-oxoglutarate metabolism enzyme, C-terminal domain superfamily
     15 IPR015943	WD40/YVTN repeat-like-containing domain superfamily
     15 IPR006553	Leucine-rich repeat, cysteine-containing subtype
     15 IPR001611	Leucine-rich repeat
     14 IPR036612	K Homology domain, type 1 superfamily
     14 IPR017441	Protein kinase, ATP binding site
     14 IPR012493	Renin receptor-like
     14 IPR001128	Cytochrome P450
     13 IPR036236	Zinc finger C2H2 superfamily
     13 IPR026298	Blc2 family
     12 IPR038357	KEN domain superfamily
     12 IPR036249	Thioredoxin-like superfamily
     12 IPR029058	Alpha/Beta hydrolase fold
     12 IPR027477	Succinate dehydrogenase/fumarate reductase flavoprotein, catalytic domain superfamily
     12 IPR023395	Mitochondrial carrier domain superfamily
     12 IPR012677	Nucleotide-binding alpha-beta plait domain superfamily
     12 IPR011641	Tyrosine-protein kinase ephrin type A/B receptor-like
     12 IPR003582	ShKT domain
     12 IPR002350	Kazal domain
     12 IPR002048	EF-hand domain
     12 IPR001356	Homeobox domain
     12 IPR000008	C2 domain
     11 IPR036322	WD40-repeat-containing domain superfamily
     11 IPR008271	Serine/threonine-protein kinase, active site
     11 IPR002223	Pancreatic trypsin inhibitor Kunitz domain
     11 IPR001564	Nucleoside diphosphate kinase
     10 IPR036770	Ankyrin repeat-containing domain superfamily
     10 IPR036259	MFS transporter superfamily
     10 IPR036179	Immunoglobulin-like domain superfamily
     10 IPR035979	RNA-binding domain superfamily
     10 IPR024872	HEXIM
     10 IPR020683	Ankyrin repeat-containing domain
     10 IPR017868	Filamin/ABP280 repeat-like
     10 IPR015341	Glycoside hydrolase family 38, central domain
     10 IPR011989	Armadillo-like helical
     10 IPR007110	Immunoglobulin-like domain
     10 IPR003591	Leucine-rich repeat, typical subtype
     10 IPR002167	Graves disease carrier protein
     10 IPR001849	Pleckstrin homology domain
      9 IPR020479	Homeobox domain, metazoa
      9 IPR017986	WD40-repeat-containing domain
      9 IPR003307	W2 domain
      9 IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain
      9 IPR002172	Low-density lipoprotein (LDL) receptor class A repeat
      9 IPR001452	SH3 domain
      9 IPR001017	Dehydrogenase, E1 component
      9 IPR001007	VWFC domain
      9 IPR000711	ATPase, OSCP/delta subunit
      9 IPR000436	Sushi/SCR/CCP domain
      8 IPR036396	Cytochrome P450 superfamily
      8 IPR031717	Multifunctional 2-oxoglutarate metabolism enzyme, C-terminal
      8 IPR013026	Tetratricopeptide repeat-containing domain
      8 IPR001876	Zinc finger, RanBP2-type
      8 IPR001628	Zinc finger, nuclear hormone receptor-type
      8 IPR000884	Thrombospondin type-1 (TSP1) repeat
      8 IPR000850	Adenylate kinase/UMP-CMP kinase
      8 IPR000152	EGF-type aspartate/asparagine hydroxylation site
      8 IPR000033	LDLR class B repeat
      7 IPR036116	Fibronectin type III superfamily
      7 IPR032675	Leucine-rich repeat domain superfamily
      7 IPR020902	Actin/actin-like conserved site
      7 IPR019775	WD40 repeat, conserved site
      7 IPR018097	EGF-like calcium-binding, conserved site
      7 IPR016021	MIF4G-like domain superfamily
      7 IPR014756	Immunoglobulin E-set
      7 IPR013568	SEFIR domain
      7 IPR013098	Immunoglobulin I-set
      7 IPR011993	PH-like domain superfamily
      7 IPR011356	Peptidase M17, leucine aminopeptidase/peptidase B
      7 IPR011029	Death-like domain superfamily
      7 IPR003599	Immunoglobulin subtype
      7 IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain
      7 IPR001791	Laminin G domain
      7 IPR001478	PDZ domain
      7 IPR000980	SH2 domain
      7 IPR000308	14-3-3 protein
      6 IPR041147	Glycosyl hydrolases family 38, C-terminal beta sandwich domain
      6 IPR038081	CalX-like domain superfamily
      6 IPR037099	Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal domain superfamily
      6 IPR036850	Nucleoside diphosphate kinase-like domain superfamily
      6 IPR036834	Blc2-like superfamily
      6 IPR036383	Thrombospondin type-1 (TSP1) repeat superfamily
      6 IPR036140	Profilin superfamily
      6 IPR036055	LDL receptor-like superfamily
      6 IPR036034	PDZ superfamily
      6 IPR035892	C2 domain superfamily
      6 IPR034907	Nucleoside diphosphate kinase-like domain
      6 IPR029158	Stimulator of interferon genes protein
      6 IPR029021	Protein-tyrosine phosphatase-like
      6 IPR020472	G-protein beta WD-40 repeat
      6 IPR015939	Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal
      6 IPR015919	Cadherin-like superfamily
      6 IPR014729	Rossmann-like alpha/beta/alpha sandwich fold
      6 IPR013780	Glycosyl hydrolase, all-beta
      6 IPR011682	Glycosyl hydrolase family 38, C-terminal
      6 IPR011013	Galactose mutarotase-like domain superfamily
      6 IPR009146	Groucho/transducin-like enhancer
      6 IPR008930	Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid
      6 IPR006015	Universal stress protein A family
      6 IPR003953	FAD-dependent oxidoreductase 2, FAD binding domain
      6 IPR002885	Pentatricopeptide repeat
      6 IPR002157	Cobalamin (vitamin B12)-binding protein
      6 IPR002113	ADP/ATP carrier protein, eukaryotic type
      6 IPR002108	Actin-depolymerising factor homology domain
      6 IPR001781	Zinc finger, LIM-type
      6 IPR000885	Fibrillar collagen, C-terminal
      6 IPR000569	HECT domain
      6 IPR000175	Sodium:neurotransmitter symporter
      5 IPR039465	Interleukin-17 receptor-like
      5 IPR037094	Glycoside hydrolase family 38, central domain superfamily
      5 IPR033139	Peptidase family C14A, cysteine active site
      5 IPR029030	Caspase-like domain superfamily
      5 IPR028995	Glycoside hydrolase families 57/38, central domain superfamily
      5 IPR024983	CHAT domain
      5 IPR024079	Metallopeptidase, catalytic domain superfamily
      5 IPR021133	HEAT, type 2
      5 IPR016135	Ubiquitin-conjugating enzyme/RWD-like
      5 IPR013766	Thioredoxin domain
      5 IPR008197	WAP-type 'four-disulfide core' domain
      5 IPR006652	Kelch repeat type 1
      5 IPR002398	Peptidase C14 family
      5 IPR002189	F-actin-capping protein subunit alpha
      5 IPR002138	Peptidase C14, caspase non-catalytic subunit p10
      5 IPR001848	Ribosomal protein S10
      5 IPR001762	Disintegrin domain
      5 IPR001723	Nuclear hormone receptor
      5 IPR001309	Peptidase C14,  p20 domain
      5 IPR001298	Filamin/ABP280 repeat
      5 IPR001190	SRCR domain
      5 IPR000834	Peptidase M14, carboxypeptidase A
      5 IPR000668	Peptidase C1A, papain C-terminal
      5 IPR000488	Death domain
      5 IPR000454	ATP synthase, F0 complex, subunit C
      5 IPR000315	B-box-type zinc finger
      4 IPR041679	DNA2/NAM7 helicase-like, C-terminal
      4 IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily
      4 IPR036873	Rhodanese-like domain superfamily
      4 IPR036772	SRCR-like domain superfamily
      4 IPR036643	DNA-directed RNA polymerase, insert domain superfamily
      4 IPR036539	Cytochrome c oxidase, subunit VIIa superfamily
      4 IPR036388	Winged helix-like DNA-binding domain superfamily
      4 IPR036028	SH3-like domain superfamily
      4 IPR031248	E3 ubiquitin-protein ligase RNF213
      4 IPR029034	Cystine-knot cytokine
      4 IPR027267	AH/BAR domain superfamily
      4 IPR024130	DAP1/DAPL1
      4 IPR020552	Inositol monophosphatase, lithium-sensitive
      4 IPR020471	Aldo/keto reductase
      4 IPR020454	Diacylglycerol/phorbol-ester binding
      4 IPR018247	EF-Hand 1, calcium-binding site
      4 IPR017904	ADF/Cofilin
      4 IPR015424	Pyridoxal phosphate-dependent transferase
      4 IPR015422	Pyridoxal phosphate-dependent transferase domain 1
      4 IPR015421	Pyridoxal phosphate-dependent transferase, major domain
      4 IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain
      4 IPR011011	Zinc finger, FYVE/PHD-type
      4 IPR010394	5-nucleotidase
      4 IPR010164	Ornithine aminotransferase
      4 IPR008859	Thrombospondin, C-terminal
      4 IPR007587	SIT4 phosphatase-associated protein family
      4 IPR006689	Small GTPase superfamily, ARF/SAR type
      4 IPR006439	HAD hydrolase, subfamily IA
      4 IPR005146	B3/B4 tRNA-binding domain
      4 IPR004313	Acireductone dioxygenase ARD family
      4 IPR004092	Mbt repeat
      4 IPR004088	K Homology domain, type 1
      4 IPR004087	K Homology domain
      4 IPR004045	Glutathione S-transferase, N-terminal
      4 IPR002347	Short-chain dehydrogenase/reductase SDR
      4 IPR002208	SecY/SEC61-alpha family
      4 IPR001382	Glycoside hydrolase family 47
      4 IPR001180	Citron homology (CNH) domain
      4 IPR001046	NRAMP family
      4 IPR000760	Inositol monophosphatase-like
      4 IPR000589	Ribosomal protein S15
      4 IPR000306	FYVE zinc finger
      4 IPR000253	Forkhead-associated (FHA) domain
      4 IPR000243	Peptidase T1A, proteasome beta-subunit
      4 IPR000219	Dbl homology (DH) domain
      3 IPR042232	Choline/Carnitine o-acyltransferase, domain 1
      3 IPR039551	Choline/carnitine acyltransferase domain
      3 IPR038765	Papain-like cysteine peptidase superfamily
      3 IPR038623	Stimulator of interferon genes protein, C-terminal domain superfamily
      3 IPR036390	Winged helix DNA-binding domain superfamily
      3 IPR036058	Kazal domain superfamily
      3 IPR029071	Ubiquitin-like domain superfamily
      3 IPR029055	Nucleophile aminohydrolases, N-terminal
      3 IPR029006	ADF-H/Gelsolin-like domain superfamily
      3 IPR028460	Tyramine beta-hydroxylase/Dopamine beta-hydroxylase
      3 IPR023416	Transthyretin/hydroxyisourate hydrolase domain
      3 IPR023393	START-like domain superfamily
      3 IPR023247	Dynein-f, intermediate chain IC97/Casc1-like
      3 IPR023005	Nucleoside diphosphate kinase, active site
      3 IPR020831	Glyceraldehyde/Erythrose phosphate dehydrogenase family
      3 IPR020635	Tyrosine-protein kinase, catalytic domain
      3 IPR019787	Zinc finger, PHD-finger
      3 IPR017984	Chromo domain subgroup
      3 IPR017970	Homeobox, conserved site
      3 IPR017907	Zinc finger, RING-type, conserved site
      3 IPR017897	Thrombospondin, type 3 repeat
      3 IPR017896	4Fe-4S ferredoxin-type, iron-sulphur binding domain
      3 IPR016158	Cullin homology domain
      3 IPR014720	Double-stranded RNA-binding domain
      3 IPR014710	RmlC-like jelly roll fold
      3 IPR014038	Translation elongation factor EF1B, beta/delta subunit, guanine nucleotide exchange domain
      3 IPR014001	Helicase superfamily 1/2, ATP-binding domain
      3 IPR012340	Nucleic acid-binding, OB-fold
      3 IPR011701	Major facilitator superfamily
      3 IPR011545	DEAD/DEAH box helicase domain
      3 IPR011263	DNA-directed RNA polymerase, RpoA/D/Rpb3-type
      3 IPR011016	Zinc finger, RING-CH-type
      3 IPR010226	NADH-quinone oxidoreductase, chain I
      3 IPR009061	Putative DNA-binding domain superfamily
      3 IPR009057	Homeobox-like domain superfamily
      3 IPR008974	TRAF-like
      3 IPR008628	Golgi phosphoprotein 3-like
      3 IPR007275	YTH domain
      3 IPR006630	La-type HTH domain
      3 IPR006575	RWD domain
      3 IPR006461	PLAC8 motif-containing protein
      3 IPR006121	Heavy metal-associated domain, HMA
      3 IPR006016	UspA
      3 IPR005375	Ubiquitin-fold modifier 1
      3 IPR005147	tRNA synthetase, B5-domain
      3 IPR005124	Vacuolar (H+)-ATPase G subunit
      3 IPR004012	RUN domain
      3 IPR003644	Na-Ca exchanger/integrin-beta4
      3 IPR003613	U box domain
      3 IPR003598	Immunoglobulin subtype 2
      3 IPR003410	HYR domain
      3 IPR003367	Thrombospondin, type 3-like repeat
      3 IPR003172	MD-2-related lipid-recognition domain
      3 IPR003111	Lon, substrate-binding domain
      3 IPR002715	Nascent polypeptide-associated complex NAC domain
      3 IPR002475	Bcl2-like
      3 IPR002017	Spectrin repeat
      3 IPR001932	PPM-type phosphatase domain
      3 IPR001875	Death effector domain
      3 IPR001810	F-box domain
      3 IPR001806	Small GTPase
      3 IPR001715	Calponin homology domain
      3 IPR001709	Flavoprotein pyridine nucleotide cytochrome reductase
      3 IPR001627	Sema domain
      3 IPR001374	R3H domain
      3 IPR001310	Histidine triad (HIT) protein
      3 IPR001148	Alpha carbonic anhydrase domain
      3 IPR001054	Adenylyl cyclase class-3/4/guanylyl cyclase
      3 IPR000953	Chromo/chromo shadow domain
      3 IPR000734	Triacylglycerol lipase family
      3 IPR000718	Peptidase M13
      3 IPR000608	Ubiquitin-conjugating enzyme E2
      3 IPR000542	Acyltransferase ChoActase/COT/CPT
      3 IPR000536	Nuclear hormone receptor, ligand-binding domain
      3 IPR000408	Regulator of chromosome condensation, RCC1
      3 IPR000357	HEAT repeat
      3 IPR000218	Ribosomal protein L14P
      3 IPR000048	IQ motif, EF-hand binding site
      2 IPR043926	ABC transporter family G domain
      2 IPR042099	AMP-dependent synthetase-like superfamily
      2 IPR041616	Phenylalanyl tRNA synthetase beta chain, core domain
      2 IPR040659	Phenylalanine--tRNA ligase beta subunit, B1 domain
      2 IPR040247	Protein of unknown function DUF5524
      2 IPR040122	Importin beta family
      2 IPR039659	Transcription elongation factor SPT5
      2 IPR039297	Cytochrome c oxidase subunit VII
      2 IPR039261	Ferredoxin-NADP reductase (FNR), nucleotide-binding domain
      2 IPR038716	Ribosomal protein P1/P2, N-terminal domain
      2 IPR037232	NADH:ubiquinone oxidoreductase, 30kDa subunit superfamily
      2 IPR037213	RUN domain superfamily
      2 IPR036920	Ribosomal protein L10e/L16 superfamily
      2 IPR036910	High mobility group box domain superfamily
      2 IPR036872	CH domain superfamily
      2 IPR036870	Ribosomal protein S18 superfamily
      2 IPR036867	R3H domain superfamily
      2 IPR036860	SH2 domain superfamily
      2 IPR036853	Ribosomal protein L14 superfamily
      2 IPR036838	Ribosomal protein S10 domain superfamily
      2 IPR036817	Transthyretin/hydroxyisourate hydrolase domain superfamily
      2 IPR036815	14-3-3 domain superfamily
      2 IPR036812	NADP-dependent oxidoreductase domain superfamily
      2 IPR036802	ATP:guanido phosphotransferase, N-terminal domain superfamily
      2 IPR036723	Alpha-catenin/vinculin-like superfamily
      2 IPR036638	Helix-loop-helix DNA-binding domain superfamily
      2 IPR036603	RNA polymerase, RBP11-like subunit
      2 IPR036517	FF domain superfamily
      2 IPR036457	PPM-type phosphatase domain superfamily
      2 IPR036443	Zinc finger, RanBP2-type superfamily
      2 IPR036440	Peptidase C15, pyroglutamyl peptidase I-like superfamily
      2 IPR036436	Disintegrin domain superfamily
      2 IPR036409	Class II aldolase/adducin N-terminal domain superfamily
      2 IPR036398	Alpha carbonic anhydrase domain superfamily
      2 IPR036389	Ribonuclease III, endonuclease domain superfamily
      2 IPR036361	SAP domain superfamily
      2 IPR036356	Endoplasmic reticulum resident protein 29, C-terminal domain superfamily
      2 IPR036317	Cullin homology domain superfamily
      2 IPR036291	NAD(P)-binding domain superfamily
      2 IPR036282	Glutathione S-transferase, C-terminal domain superfamily
      2 IPR036265	HIT-like superfamily
      2 IPR036047	F-box-like domain superfamily
      2 IPR036026	Seven-hairpin glycosidases
      2 IPR036005	Creatinase/aminopeptidase-like
      2 IPR035983	HECT, E3 ligase catalytic domain
      2 IPR035965	PAS domain superfamily
      2 IPR035902	Nucleoside phosphorylase/phosphoribosyltransferase catalytic domain superfamily
      2 IPR035899	Dbl homology (DH) domain superfamily
      2 IPR035893	PurE domain superfamily
      2 IPR035500	Nuclear hormone receptor-like domain superfamily
      2 IPR034035	Astacin-like metallopeptidase domain
      2 IPR033952	Stimulator of interferon genes protein, C-terminal
      2 IPR033015	Cilia- and flagella-associated protein 52
      2 IPR031365	Protein of unknown function with motif GDWWSH
      2 IPR030659	SecY conserved site
      2 IPR030550	Torsin-1B
      2 IPR030379	Septin-type guanine nucleotide-binding (G) domain
      2 IPR029787	Nucleotide cyclase
      2 IPR029309	Calcium-responsive transcription factor
      2 IPR029000	Cyclophilin-like domain superfamily
      2 IPR028974	TSP type-3 repeat
      2 IPR028889	Ubiquitin specific protease domain
      2 IPR028565	Mu homology domain
      2 IPR028507	Thrombospondin-3
      2 IPR028422	GREB1
      2 IPR028108	Protein of unknown function DUF4505
      2 IPR027817	Costars domain
      2 IPR027534	Ribosomal protein L12/P1/P2 family
      2 IPR027496	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase, eukaryotes
      2 IPR027486	Ribosomal protein S10 domain
      2 IPR027409	GroEL-like apical domain superfamily
      2 IPR026983	Dynein heavy chain
      2 IPR026847	Vacuolar protein sorting-associated protein 13
      2 IPR026015	F1F0 ATP synthase OSCP/delta subunit, N-terminal domain superfamily
      2 IPR025483	Lipase, eukaryotic
      2 IPR025313	Domain of unknown function DUF4217
      2 IPR024129	Sphingomyelin phosphodiesterase 4
      2 IPR023753	FAD/NAD(P)-binding domain
      2 IPR023574	Ribosomal protein L4 domain superfamily
      2 IPR023410	14-3-3 domain
      2 IPR023409	14-3-3 protein, conserved site
      2 IPR023210	NADP-dependent oxidoreductase domain
      2 IPR023201	SecY domain superfamily
      2 IPR022830	Indigoidine synthase A-like
      2 IPR022413	ATP:guanido phosphotransferase, N-terminal
      2 IPR021040	LRRC8, pannexin-like TM region
      2 IPR020901	Proteinase inhibitor I2, Kunitz, conserved site
      2 IPR020894	Cadherin conserved site
      2 IPR020825	Phenylalanyl-tRNA synthetase, B3/B4
      2 IPR020726	Apoptosis regulator, Bcl-2, BH2 motif, conserved site
      2 IPR020568	Ribosomal protein S5 domain 2-type fold
      2 IPR019786	Zinc finger, PHD-type, conserved site
      2 IPR019748	FERM central domain
      2 IPR019559	Cullin protein, neddylation domain
      2 IPR019403	Mediator complex, subunit Med19, metazoa
      2 IPR019366	Clusterin-associated protein-1
      2 IPR018940	Elongation factor 1 beta central acidic region, eukaryote
      2 IPR017972	Cytochrome P450, conserved site
      2 IPR017937	Thioredoxin, conserved site
      2 IPR017900	4Fe-4S ferredoxin, iron-sulphur binding, conserved site
      2 IPR017865	F-actin capping protein, alpha subunit, conserved site
      2 IPR017455	Zinc finger, FYVE-related
      2 IPR017452	GPCR, rhodopsin-like, 7TM
      2 IPR016641	Nascent polypeptide-associated complex subunit alpha
      2 IPR016197	Chromo-like domain superfamily
      2 IPR016180	Ribosomal protein L10e/L16
      2 IPR016130	Protein-tyrosine phosphatase, active site
      2 IPR016125	Peptidase C15, pyroglutamyl peptidase I-like
      2 IPR016039	Thiolase-like
      2 IPR015947	PUA-like superfamily
      2 IPR015915	Kelch-type beta propeller
      2 IPR015819	Lipid transport protein, beta-sheet shell
      2 IPR015433	Phosphatidylinositol kinase
      2 IPR014887	HIF-1 alpha, transactivation domain, C-terminal
      2 IPR014721	Ribosomal protein S5 domain 2-type fold, subgroup
      2 IPR014186	S-formylglutathione hydrolase
      2 IPR013866	Sphingolipid delta4-desaturase, N-terminal
      2 IPR013201	Cathepsin propeptide inhibitor domain (I29)
      2 IPR012341	Six-hairpin glycosidase-like superfamily
      2 IPR012338	Beta-lactamase/transpeptidase-like
      2 IPR012317	Poly(ADP-ribose) polymerase, catalytic domain
      2 IPR011992	EF-hand domain pair
      2 IPR011705	BTB/Kelch-associated
      2 IPR011679	Endoplasmic reticulum resident protein 29, C-terminal
      2 IPR011388	Sphingolipid delta4-desaturase
      2 IPR011262	DNA-directed RNA polymerase, insert domain
      2 IPR011249	Metalloenzyme, LuxS/M16 peptidase-like
      2 IPR011051	RmlC-like cupin domain superfamily
      2 IPR011030	Lipovitellin-phosvitin complex, superhelical domain
      2 IPR010721	Protein of unknown function DUF1295
      2 IPR010448	Torsin
      2 IPR010218	NADH dehydrogenase, subunit C
      2 IPR009816	Protein of unknown function DUF1387
      2 IPR009346	GRIM-19
      2 IPR009091	Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II
      2 IPR009072	Histone-fold
      2 IPR009014	Transketolase C-terminal/Pyruvate-ferredoxin oxidoreductase domain II
      2 IPR009001	Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal
      2 IPR009000	Translation protein, beta-barrel domain superfamily
      2 IPR008952	Tetraspanin, EC2 domain superfamily
      2 IPR008937	Ras-like guanine nucleotide exchange factor
      2 IPR008936	Rho GTPase activation protein
      2 IPR008922	Uncharacterised domain, di-copper centre
      2 IPR008826	Selenium-binding protein
      2 IPR008814	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1
      2 IPR008795	Prominin
      2 IPR008564	Golgi apparatus membrane protein TVP23-like
      2 IPR008559	Calcium load-activated calcium channel
      2 IPR008266	Tyrosine-protein kinase, active site
      2 IPR007965	Gcn5-related N-acetyltransferase (GNAT) domain, ATAT-type
      2 IPR007811	DNA-directed RNA polymerase III subunit RPC4
      2 IPR007783	Eukaryotic translation initiation factor 3 subunit D
      2 IPR007741	Ribosomal protein/NADH dehydrogenase domain
      2 IPR007342	Pseudouridine-5'-phosphate glycosidase
      2 IPR007266	Endoplasmic reticulum oxidoreductin 1
      2 IPR007144	Small-subunit processome, Utp11
      2 IPR007122	Villin/Gelsolin
      2 IPR006994	TCF25/Rqc1
      2 IPR006966	Peroxin-3
      2 IPR006896	Sec23/Sec24, trunk domain
      2 IPR006880	INO80 complex subunit B-like conserved region
      2 IPR006822	Coatomer, epsilon subunit
      2 IPR006802	Radial spokehead-like protein
      2 IPR006723	Islet cell autoantigen Ica1, C-terminal
      2 IPR006708	Pex19 protein
      2 IPR006693	Partial AB-hydrolase lipase domain
      2 IPR006586	ADAM, cysteine-rich domain
      2 IPR006214	Bax inhibitor 1-related
      2 IPR006111	Archaeal RpoK/eukaryotic RPB6 RNA polymerase subunit
      2 IPR006110	RNA polymerase, subunit omega/K/RPB6
      2 IPR006026	Peptidase, metallopeptidase
      2 IPR005870	Cytochrome b6/f complex, subunit IV
      2 IPR005817	Wnt
      2 IPR005798	Cytochrome b/b6, C-terminal
      2 IPR005788	Disulphide isomerase
      2 IPR005615	Glutathione synthase
      2 IPR005522	Inositol polyphosphate kinase
      2 IPR005373	Uncharacterised protein family UPF0183
      2 IPR005225	Small GTP-binding protein domain
      2 IPR005024	Snf7 family
      2 IPR005018	DOMON domain
      2 IPR005016	Serine incorporator/TMS membrane protein
      2 IPR005011	SNU66/SART1 family
      2 IPR004827	Basic-leucine zipper domain
      2 IPR004241	Autophagy protein Atg8 ubiquitin-like
      2 IPR004161	Translation elongation factor EFTu-like, domain 2
      2 IPR004160	Translation elongation factor EFTu/EF1A, C-terminal
      2 IPR004153	CXCXC repeat
      2 IPR003595	Protein-tyrosine phosphatase, catalytic
      2 IPR003105	SRA-YDG
      2 IPR003034	SAP domain
      2 IPR002913	START domain
      2 IPR002809	Integral membrane protein EMC3/TMCO1-like
      2 IPR002666	Reduced folate carrier
      2 IPR002553	Clathrin/coatomer adaptor, adaptin-like, N-terminal
      2 IPR002547	tRNA-binding domain
      2 IPR002420	Phosphatidylinositol 3-kinase, C2 domain
      2 IPR002300	Aminoacyl-tRNA synthetase, class Ia
      2 IPR002083	MATH/TRAF domain
      2 IPR002077	Voltage-dependent calcium channel, alpha-1 subunit
      2 IPR002073	3'5'-cyclic nucleotide phosphodiesterase, catalytic domain
      2 IPR001965	Zinc finger, PHD-type
      2 IPR001902	SLC26A/SulP transporter
      2 IPR001873	Epithelial sodium channel
      2 IPR001863	Glypican
      2 IPR001763	Rhodanese-like domain
      2 IPR001747	Lipid transport protein, N-terminal
      2 IPR001734	Sodium/solute symporter
      2 IPR001666	Phosphatidylinositol transfer protein
      2 IPR001610	PAC motif
      2 IPR001605	Pleckstrin homology domain, spectrin-type
      2 IPR001394	Peptidase C19, ubiquitin carboxyl-terminal hydrolase
      2 IPR001373	Cullin, N-terminal
      2 IPR001346	Interferon regulatory factor DNA-binding domain
      2 IPR001293	Zinc finger, TRAF-type
      2 IPR001263	Phosphoinositide 3-kinase, accessory (PIK) domain
      2 IPR001208	MCM domain
      2 IPR001090	Ephrin receptor ligand binding domain
      2 IPR000999	Ribonuclease III domain
      2 IPR000895	Transthyretin/hydroxyisourate hydrolase
      2 IPR000873	AMP-dependent synthetase/ligase
      2 IPR000863	Sulfotransferase domain
      2 IPR000857	MyTH4 domain
      2 IPR000819	Peptidase M17, leucyl aminopeptidase, C-terminal
      2 IPR000778	Cytochrome b245, heavy chain
      2 IPR000705	Galactokinase
      2 IPR000640	Elongation factor EFG, domain V-like
      2 IPR000387	Tyrosine specific protein phosphatases domain
      2 IPR000299	FERM domain
      2 IPR000298	Cytochrome c oxidase subunit III-like
      2 IPR000198	Rho GTPase-activating protein domain
      2 IPR000195	Rab-GTPase-TBC domain
      2 IPR000114	Ribosomal protein L16
      2 IPR000109	Proton-dependent oligopeptide transporter family
      2 IPR000082	SEA domain
      2 IPR000047	Helix-turn-helix motif
      2 IPR000031	PurE domain
      2 IPR000014	PAS domain
      1 IPR044123	Translation initiation factor eIF-2B subunit epsilon, W2 domain
      1 IPR044110	RNF146, RING finger, HC subclass
      1 IPR044076	Ribosomal protein P2
      1 IPR044034	Nascent polypeptide-associated complex subunit alpha-like, UBA domain
      1 IPR043988	CCZ1/INTU, second Longin domain
      1 IPR043541	Synaptotagmin-14/14L/16
      1 IPR043502	DNA/RNA polymerase superfamily
      1 IPR043384	Reticulophagy receptor 1/3
      1 IPR043211	TNF receptor-associated factor TRAF
      1 IPR043197	Plakin
      1 IPR043162	Dedicator of cytokinesis, C-terminal, lobe C
      1 IPR043160	Dynein heavy chain, C-terminal domain, barrel region
      1 IPR042990	StAR-related lipid transfer protein 9
      1 IPR042982	Homeobox protein GBX-1/2
      1 IPR042862	RING finger protein 32
      1 IPR042846	BTB/POZ domain-containing protein 19
      1 IPR042815	Dynein regulatory complex protein 10
      1 IPR042618	Dynein regulatory complex protein 9
      1 IPR042489	F-actin capping protein, alpha subunit, domain 1
      1 IPR042276	F-actin-capping protein subunit alpha/beta, domain 2
